"age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","hours.per.week","native.country","income"
0.137931034482759,3,0.52583602381446,2,0.307692307692308,5,7,4,3,2,0.368421052631579,39,1
0.362068965517241,3,0.187704254415845,11,0.461538461538462,3,5,1,5,2,0.894736842105263,39,1
0.189655172413793,2,0.797720249202729,7,0.692307692307692,3,11,1,5,2,0.368421052631579,39,2
0.46551724137931,3,0.361743826703395,14,0.538461538461538,3,7,1,3,2,0.368421052631579,39,2
0.120689655172414,3,0.878474176317842,14,0.538461538461538,5,8,5,5,1,0.368421052631579,39,1
0.827586206896552,3,0.421307129528154,11,0.461538461538462,3,7,1,5,2,0.368421052631579,39,2
0.327586206896552,1,0.490447557833003,9,0.769230769230769,3,1,1,5,2,0.368421052631579,39,1
0.155172413793103,3,0.168641331714108,11,0.461538461538462,5,1,2,5,1,0.31578947368421,39,1
0.53448275862069,3,0.656465053365323,11,0.461538461538462,3,7,1,5,2,0.789473684210526,39,2
0.448275862068966,3,0.820522693838058,12,0.846153846153846,3,4,1,5,2,0.894736842105263,39,2
0.293103448275862,3,0.232381051114205,9,0.769230769230769,3,13,1,5,2,0.736842105263158,39,2
0.293103448275862,3,0.55492777662589,14,0.538461538461538,5,8,4,3,1,0.105263157894737,39,1
0.137931034482759,3,0.51134445069755,9,0.769230769230769,5,10,2,5,2,0.526315789473684,29,1
0.137931034482759,3,0.474358974358974,9,0.769230769230769,3,10,1,5,2,0.368421052631579,39,1
0.637931034482759,3,0.211652004778689,11,0.461538461538462,3,3,1,5,2,0.105263157894737,39,1
0.5,6,0.228752604089531,14,0.538461538461538,3,4,1,3,2,0.263157894736842,39,2
0.672413793103448,5,0.42673005341469,2,0.307692307692308,7,8,5,5,1,0.894736842105263,39,1
0.120689655172414,5,0.430736155129686,9,0.769230769230769,5,12,2,5,2,0.894736842105263,39,1
0.103448275862069,2,0.60313922375917,14,0.538461538461538,3,11,1,5,2,0.368421052631579,39,1
0.155172413793103,3,0.0729194435393896,11,0.461538461538462,1,4,5,5,1,0.368421052631579,39,1
0.327586206896552,2,0.962431997472429,9,0.769230769230769,3,10,1,5,2,0.368421052631579,39,2
0.0862068965517241,3,0.579260586672986,4,0,5,9,2,5,2,0.894736842105263,13,1
0,3,0.631056050867372,1,0.230769230769231,5,7,2,5,2,0.368421052631579,39,1
0.0517241379310345,3,0.601631073329187,11,0.461538461538462,5,3,4,5,2,0.368421052631579,39,1
0.827586206896552,3,0.302654443490023,12,0.846153846153846,3,10,1,5,2,0.894736842105263,39,2
0.46551724137931,4,0.262897031091101,8,0.615384615384615,3,12,1,5,2,0.631578947368421,39,2
0.206896551724138,3,0.221816593110394,2,0.307692307692308,3,8,1,5,2,0.368421052631579,39,1
0.189655172413793,3,0.565403374702566,8,0.615384615384615,3,10,6,5,1,0.157894736842105,39,2
0.379310344827586,3,0.682343038812042,5,0.0769230769230769,3,3,1,5,2,0.368421052631579,26,1
0.637931034482759,3,0.425794555848464,14,0.538461538461538,3,14,1,5,2,0.894736842105263,39,1
0.672413793103448,4,0.291625939200063,11,0.461538461538462,7,4,2,5,1,0.894736842105263,39,1
0.379310344827586,3,0.65767700403819,11,0.461538461538462,1,6,4,3,2,0.368421052631579,39,1
0.0689655172413793,3,0.239201050521805,14,0.538461538461538,5,1,4,5,1,0.368421052631579,39,1
